id,marital8,gender,age,race,children,arrestsdli8,incarceration,income8,smoking8,drinking8,drug_marijuana,sexdrugsdli8,sexstrng8,ratelife8
825,married,female,26,hispanic,1,a_no,0,515,smk_no,drnk_yes,dm_no,s_no,ss_no,good
7433,nevermarried,male,24,hispanic,-1,a_no,0,242,smk_no,drnk_yes,dm_no,s_no,ss_yes,verygood
8195,married,female,25,hispanic,2,a_no,0,233,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
1525,nevermarried,male,28,black,-1,a_no,0,387,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
5691,divorced,female,26,nonblhis,1,a_no,0,254,smk_no,drnk_no,dm_no,s_no,ss_no,verygood
6181,nevermarried,male,27,nonblhis,-1,a_no,0,54,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,verygood
2254,cohabiting,male,27,nonblhis,1,a_no,0,295,smk_yes,drnk_no,dm_yes,s_no,ss_no,good
6826,nevermarried,male,25,hispanic,-1,a_no,0,1937,smk_yes,drnk_yes,dm_yes,s_vskip,ss_vskip,good
66,nevermarried,male,28,black,-1,a_no,0,78,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
2312,nevermarried,male,27,nonblhis,-1,a_no,1,416,smk_no,drnk_yes,dm_yes,s_vskip,ss_vskip,fair
6048,nevermarried,female,24,nonblhis,-1,a_no,0,65,smk_no,drnk_yes,dm_no,s_no,ss_no,good
1846,cohabiting,female,24,black,1,a_no,0,107,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
7999,nevermarried,female,24,black,5,a_no,0,-3,smk_no,drnk_no,dm_yes,s_no,ss_no,fair
719,married,male,27,black,2,a_no,0,262,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
5312,nevermarried,male,24,nonblhis,-1,a_no,0,0,smk_no,drnk_no,dm_no,s_no,ss_yes,verygood
7972,married,male,28,black,-1,a_no,0,59,smk_no,drnk_yes,dm_yes,s_no,ss_no,fair
8063,m_vskip,male,28,black,1,a_no,0,-3,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,excellent
948,cohabiting,female,24,hispanic,-1,a_no,0,-3,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
4573,nevermarried,male,24,nonblhis,-1,a_no,4,414,smk_yes,drnk_no,dm_yes,s_no,ss_no,fair
5125,nevermarried,female,25,nonblhis,-1,a_no,0,176,smk_yes,drnk_yes,dm_yes,s_no,ss_no,fair
7002,nevermarried,male,24,black,-1,a_no,0,111,smk_yes,drnk_no,dm_no,s_no,ss_dontknow,fair
3717,nevermarried,female,27,black,-1,a_no,0,510,smk_yes,drnk_yes,dm_no,s_no,ss_yes,excellent
401,nevermarried,male,24,nonblhis,-1,a_no,0,1937,smk_no,drnk_yes,dm_yes,s_vskip,ss_vskip,good
5807,married,female,26,black,1,a_no,0,144,smk_yes,drnk_no,dm_no,s_no,ss_no,good
3475,cohabiting,female,24,nonblhis,-1,a_no,0,288,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
921,married,male,25,hispanic,-1,a_no,0,474,smk_yes,drnk_yes,dm_yes,s_no,ss_no,excellent
7574,divorced,female,26,hispanic,-1,a_no,0,445,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
185,nevermarried,male,27,black,-1,a_yes,2,0,smk_yes,drnk_yes,dm_no,s_no,ss_yes,excellent
612,nevermarried,male,24,nonblhis,-1,a_no,0,742,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
1669,nevermarried,female,27,nonblhis,-1,a_no,0,953,smk_yes,drnk_yes,dm_yes,s_no,ss_no,good
4193,nevermarried,male,26,hispanic,-1,a_no,0,222,smk_no,drnk_yes,dm_no,s_no,ss_no,poor
8144,nevermarried,female,25,hispanic,2,a_no,0,-3,smk_no,drnk_no,dm_no,s_vskip,ss_vskip,good
1414,nevermarried,female,26,nonblhis,-1,a_no,0,-3,smk_yes,drnk_yes,dm_yes,s_vskip,ss_vskip,fair
3198,nevermarried,male,24,nonblhis,-1,a_no,0,806,smk_no,drnk_yes,dm_no,s_no,ss_no,fair
4353,divorced,female,28,hispanic,1,a_no,0,314,smk_no,drnk_yes,dm_no,s_no,ss_no,excellent
2455,cohabiting,male,25,hispanic,2,a_no,0,-3,smk_yes,drnk_yes,dm_no,s_vskip,ss_vskip,excellent
4966,married,female,24,nonblhis,2,a_no,0,155,smk_yes,drnk_no,dm_no,s_vskip,ss_vskip,excellent
1433,nevermarried,female,24,nonblhis,-1,a_no,0,373,smk_no,drnk_yes,dm_no,s_no,ss_no,verygood
